,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
131,0178.a2.txt,1942.52,1110.01,941.53,693.76,1,0,0
132,0223.a2.txt,1915.55,1009.27,968.07,257.47,0,2,3
133,0195.a2.txt,1262.02,1057.69,564.9,480.77,1,4,5
134,4024.a2.txt,1780.66,978.77,849.06,601.42,0,0,0
135,0139.a2.txt,1795.21,1183.51,744.68,571.81,0,0,0
136,0138.a2.txt,1847.13,1248.41,726.11,445.86,0,0,1
137,2035.a2.txt,1682.44,1240.8,778.13,536.28,1,0,0
138,2036.a2.txt,1657.7,1248.65,775.03,505.92,0,0,0
139,4003.a2.txt,1850.44,1356.15,544.99,430.93,0,0,0
140,2063.a2.txt,1636.36,1151.52,939.39,651.52,0,0,0
141,0207.a2.txt,1830.24,1246.68,702.92,477.45,0,0,0
142,0122.a2.txt,1843.19,1059.15,729.02,467.68,1,0,4
143,0234.a2.txt,2015.31,931.12,931.12,625.0,2,0,2
144,2022.a2.txt,1421.25,729.83,870.68,345.71,2,0,18
145,4014.a2.txt,2130.54,899.01,812.81,492.61,2,0,4
146,2040.a2.txt,1930.42,1099.89,718.29,404.04,6,0,2
147,0188.a2.txt,1588.79,1051.4,864.49,443.93,1,0,1
148,2018.a2.txt,2388.76,1065.57,1018.74,433.26,2,0,1
149,0182.a2.txt,1644.63,975.21,842.98,454.55,3,1,7
150,5003.a2.txt,1873.35,1042.22,1002.64,633.25,0,0,1
151,2015.a2.txt,1956.24,759.33,604.89,296.01,2,0,0
152,4040.a2.txt,1689.79,1071.88,517.02,441.36,1,0,0
153,3023.a2.txt,1687.19,1293.1,665.02,455.67,0,0,0
154,3003.a2.txt,2054.79,948.37,1085.35,410.96,0,0,2
155,5002.a2.txt,1492.86,1240.4,647.64,504.94,0,1,1
156,5048.a2.txt,1594.2,1268.12,567.63,555.56,0,0,0
157,0208.a2.txt,1686.31,1305.53,734.36,553.04,5,0,0
158,0238.a2.txt,1844.06,1250.0,569.31,495.05,0,0,0
159,4004.a2.txt,2225.03,1112.52,695.32,417.19,0,0,0
160,0206.a2.txt,1844.78,1055.98,699.75,547.07,1,1,0
161,4008.a2.txt,1583.07,1144.2,658.31,783.7,0,0,0
162,1014.a2.txt,1855.15,1270.65,813.21,406.61,1,0,0
163,5018.a2.txt,1749.41,1099.29,827.42,614.66,0,0,0
164,1010.a2.txt,1994.22,982.66,934.49,462.43,0,1,2
165,4043.a2.txt,1320.75,1245.28,867.92,742.14,0,0,0
166,3068.a2.txt,1803.87,1065.38,690.07,508.47,0,1,1
167,1032.a2.txt,1406.44,1215.73,417.16,619.79,2,0,0
168,1095.a2.txt,1840.19,1392.25,593.22,399.52,0,0,0
169,2047.a2.txt,2112.17,978.52,1217.18,358.0,0,0,2
170,1049.a2.txt,2438.71,1032.26,890.32,438.71,0,0,1
171,2064.a2.txt,2098.45,1049.22,582.9,531.09,0,0,1
172,0204.a2.txt,1925.82,1098.43,641.94,442.23,0,1,1
173,2027.a2.txt,1854.4,989.01,865.38,398.35,1,0,0
174,4033.a2.txt,1286.35,1353.47,626.4,592.84,0,0,0
